Cell line	Data type	Sample	URL
K562	Nsome	wgEncodeSydhNsomeK562AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep6.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep6	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep6.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep7	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep7.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep7	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep7.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep8	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep8.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep8	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep8.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep9	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep9.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep9	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep9.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep10	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep10.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep10	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep10.bam.bai
K562	Nsome	wgEncodeSydhNsomeK562AlnRep11	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep11.bam
K562	Nsome	wgEncodeSydhNsomeK562AlnRep11	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeSydhNsome/wgEncodeSydhNsomeK562AlnRep11.bam.bai
Gm12878	Control	wgEncodeBroadHistoneGm12878ControlStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878ControlStdRawDataRep1.fastq.gz       
Gm12878	Control	wgEncodeBroadHistoneGm12878ControlStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878ControlStdRawDataRep2.fastq.gz       
Gm12878	Ctcf	wgEncodeBroadHistoneGm12878CtcfStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878CtcfStdRawDataRep1.fastq.gz          
Gm12878	Ctcf	wgEncodeBroadHistoneGm12878CtcfStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878CtcfStdRawDataRep2.fastq.gz          
Gm12878	H2az	wgEncodeBroadHistoneGm12878H2azStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H2azStdRawDataRep1.fastq.gz     
Gm12878	H2az	wgEncodeBroadHistoneGm12878H2azStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H2azStdRawDataRep2.fastq.gz     
Gm12878	H3k4me1	wgEncodeBroadHistoneGm12878H3k4me1StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me1StdRawDataRep1.fastq.gz       
Gm12878	H3k4me1	wgEncodeBroadHistoneGm12878H3k4me1StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me1StdRawDataRep2.fastq.gz       
Gm12878	H3k4me2	wgEncodeBroadHistoneGm12878H3k4me2StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me2StdRawDataRep1.fastq.gz       
Gm12878	H3k4me2	wgEncodeBroadHistoneGm12878H3k4me2StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me2StdRawDataRep2.fastq.gz       
Gm12878	H3k4me3	wgEncodeBroadHistoneGm12878H3k4me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdRawDataRep1.fastq.gz       
Gm12878	H3k4me3	wgEncodeBroadHistoneGm12878H3k4me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k4me3StdRawDataRep2.fastq.gz       
Gm12878	H3k9ac	wgEncodeBroadHistoneGm12878H3k9acStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k9acStdRawDataRep1.fastq.gz        
Gm12878	H3k9ac	wgEncodeBroadHistoneGm12878H3k9acStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k9acStdRawDataRep2.fastq.gz        
Gm12878	H3k9me3	wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep1.fastq.gz       
Gm12878	H3k9me3	wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep2.fastq.gz       
Gm12878	H3k9me3	wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep3	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k9me3StdRawDataRep3.fastq.gz       
Gm12878	H3k27ac	wgEncodeBroadHistoneGm12878H3k27acStdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k27acStdRawDataRep1.fastq.gz       
Gm12878	H3k27ac	wgEncodeBroadHistoneGm12878H3k27acStdRawDataRep2	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k27acStdRawDataRep2.fastq.gz       
Gm12878	H3k27me3	wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep1	http://hgdownload.soe.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHistone/wgEncodeBroadHistoneGm12878H3k27me3StdRawDataRep1.fastq.gz      
